t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,420,0,111.34036285700512,46.138400000927504,299.75130000093486,307.2269000040251,308.1132000006619
1,752,0,193.91424414873248,295.2845999971032,321.3035000007949,325.0839999964228,326.21739999740385
2,1060,0,221.45407349059994,307.3471000025165,330.18739999533864,340.0231999985408,341.46399999735877
3,1228,0,251.1651074103756,323.02460000209976,459.8464000009699,480.7465999983833,488.57760000100825
4,1264,0,223.15205348099823,313.4889000066323,355.3414999987581,359.81980000360636,369.0497999996296
5,1207,0,237.56931507859775,316.68290000379784,400.85569999791915,416.23499999695923,427.8598999953829
6,1372,0,231.88081384830474,315.96210000134306,344.4510999979684,369.0567000012379,372.4644999965676
7,1245,0,224.005171003999,317.8302999949665,353.06250000576256,365.01480000151787,369.6453000011388
8,1275,0,219.65283482348633,311.76959999720566,358.60200000024633,364.9061999967671,375.17350000416627
9,1283,0,231.99189033513815,320.8311999987927,343.8520000054268,359.8061999946367,375.85000000399305
10,856,0,277.67455934587315,327.17869999760296,396.0462000031839,403.48480000102427,410.11189999699127
11,612,0,251.4431514707979,321.3986000046134,347.77369999937946,353.00830000051064,358.3266999994521
12,226,0,159.77902477864686,60.35560000600526,324.3302999981097,326.6564000005019,326.97019999613985
