t_s,user_id,step,latency_ms,ok,error
0.041034,10000,start,40.161,1,
0.087938,10000,new_chat,46.825,1,
0.088332,10001,start,31.961,1,
0.134953,10001,new_chat,46.585,1,
0.135441,10002,start,32.053,1,
0.181563,10002,new_chat,46.075,1,
0.196785,10003,start,30.802,1,
0.243997,10004,start,31.393,1,
0.244432,10003,new_chat,47.531,1,
0.290787,10004,new_chat,46.712,1,
0.291190,10005,start,31.014,1,
0.336895,10005,new_chat,45.669,1,
0.337252,10006,start,31.257,1,
0.383032,10006,new_chat,45.739,1,
0.383579,10007,start,31.277,1,
0.398941,10000,chat_msg,310.917,1,
0.429892,10007,new_chat,46.264,1,
0.446462,10001,chat_msg,311.431,1,
0.446562,10008,start,32.347,1,
0.477583,10002,chat_msg,295.921,1,
0.493600,10009,start,31.706,1,
0.493966,10008,new_chat,47.323,1,
0.539674,10009,new_chat,45.994,1,
0.540009,10010,start,30.906,1,
0.555808,10003,chat_msg,311.330,1,
0.586971,10010,new_chat,46.926,1,
0.587412,10011,start,31.979,1,
0.603160,10004,chat_msg,312.309,1,
0.633235,10011,new_chat,45.773,1,
0.633688,10012,start,30.786,1,
0.633988,10005,chat_msg,297.022,1,
0.679837,10006,chat_msg,296.723,1,
0.694915,10013,start,30.469,1,
0.695313,10012,new_chat,61.575,1,
0.742981,10007,chat_msg,313.006,1,
0.743080,10013,new_chat,48.098,1,
0.743532,10014,start,32.618,1,
0.789655,10014,new_chat,46.082,1,
0.789975,10015,start,30.968,1,
0.790236,10008,chat_msg,296.231,1,
0.837541,10015,new_chat,47.531,1,
0.837779,10016,start,32.955,1,
0.837996,10009,chat_msg,298.259,1,
0.883339,10016,new_chat,45.530,1,
0.883560,10017,start,31.644,1,
0.898876,10010,chat_msg,311.808,1,
0.914623,10000,chat_msg,312.026,1,
0.930370,10017,new_chat,46.778,1,
0.946258,10018,start,32.078,1,
0.962086,10011,chat_msg,328.770,1,
0.962136,10001,chat_msg,313.182,1,
0.977845,10002,chat_msg,298.288,1,
0.994631,10019,start,32.868,1,
0.994894,10018,new_chat,48.595,1,
0.995111,10012,chat_msg,299.755,1,
1.042384,10019,new_chat,47.712,1,
1.042664,10020,start,32.713,1,
1.042923,10013,chat_msg,299.784,1,
1.057601,10003,chat_msg,298.255,1,
1.088480,10020,new_chat,45.774,1,
