t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,55,0,117.26955818184334,46.264299999165814,312.3092000023462,313.18219999957364,328.77020000159973
1,96,0,192.27257291693908,297.2707000008086,312.93640000512823,315.33829999534646,315.8862999989651
2,140,0,211.19949285696617,296.31220000010217,312.6159000021289,313.2792000033078,313.588000004529
3,160,0,206.8173206254869,296.3367000047583,311.27399999968475,323.570300002757,326.21849999850383
4,155,0,199.26923419374245,296.77140000421787,311.19789999502245,312.45320000016363,312.86569999792846
5,162,0,203.6450697531917,296.67499999777647,311.9432999956189,312.48629999754485,312.7332000003662
6,162,0,203.24769259259259,296.667399998114,310.95160000404576,314.00220000068657,325.028300001577
7,157,0,204.07319745239076,297.5605000028736,312.4281999989762,312.95430000318447,313.2705000025453
8,160,0,201.17381687505258,296.5027000027476,312.37030000193045,312.9841999980272,313.4455000035814
9,162,0,205.40654444437362,296.75069999939296,312.299899997015,313.9725000000908,327.5133999995887
10,106,0,257.9237198114465,308.29930000618333,326.6449000002467,327.6200999971479,327.62140000704676
11,64,0,222.19641250001132,297.63989999628393,313.20440000126837,313.4174000006169,313.6690000028466
12,21,0,142.803328571539,47.17059999529738,312.43349999567727,312.5858999992488,312.5858999992488
