t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,14,0,121.16037857257263,46.59620000165887,312.5986000013654,327.03269999910844,327.03269999910844
1,25,0,204.29043200128945,308.47910000011325,322.9304999986198,324.57009999779984,324.57009999779984
2,34,0,212.47014117654865,297.3444999952335,311.5239000035217,313.0285999941407,313.0285999941407
3,41,0,208.89336097575213,298.0348999990383,313.0273000060697,324.8894000062137,324.8894000062137
4,40,0,203.05369250054355,297.44059999939054,312.4163000029512,312.74199999461416,312.74199999461416
5,40,0,203.42837749940372,298.1671999950777,312.44950000109384,316.35739999910584,316.35739999910584
6,41,0,207.16319024430095,298.68720000376925,313.3899000022211,314.266299996234,314.266299996234
7,39,0,200.72387179467253,297.3760000022594,313.17139999737265,313.31890000001295,313.31890000001295
8,39,0,202.523007692108,297.6221999997506,312.6672999933362,313.15170000016224,313.15170000016224
9,41,0,209.95283902323914,300.13400000461843,312.2785999948974,315.5403999990085,315.5403999990085
10,26,0,252.57471153851768,297.7937000032398,312.9779000009876,313.3612000019639,313.3612000019639
11,15,0,224.0341066669013,310.75370000326075,312.9957999990438,324.3698000005679,324.3698000005679
12,5,0,151.84375999961048,47.53340000024764,325.05659999878844,325.05659999878844,325.05659999878844
