t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,105,0,111.4300304759776,46.898100001271814,299.418999995396,311.01180000405293,311.8576999986544
1,190,0,189.8895868419602,296.48960000486113,310.104299998784,311.8618999942555,312.0869999984279
2,261,0,214.3245007662079,296.27150000305846,338.15389999654144,372.67749999591615,373.45510000159265
3,327,0,209.46390305802674,297.14220000460045,323.1694999994943,324.8911999980919,325.7182000015746
4,330,0,204.85000303026138,296.771199995419,313.698400001158,315.9691000037128,326.0885999989114
5,318,0,202.39693364787883,297.6399000035599,312.8064999982598,323.0805000057444,325.2645000029588
6,319,0,203.73987492175186,295.6687999976566,310.48619999637594,321.50329999421956,324.160900003335
7,318,0,206.30021132067057,296.603499999037,324.59640000161016,327.30190000438597,328.44469999690773
8,319,0,208.01746959272617,296.75590000260854,315.1113999992958,323.948899997049,325.51219999731984
9,325,0,205.78075538458785,297.0814000000246,311.6033999976935,313.3238000009442,314.9494000026607
10,216,0,246.9741986111263,296.41719999926863,312.0744000043487,313.23990000237245,314.9402999988524
11,131,0,215.35355114477565,296.6136000031838,311.669399998209,313.2298999989871,313.4314999988419
12,41,0,138.84547073163358,46.067700001003686,311.17079999967245,312.33459999930346,312.33459999930346
