t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,28,0,115.23188214284475,46.830300001602154,311.11300000338815,312.78609999571927,312.78609999571927
1,46,0,193.90960217361166,297.43710000184365,327.2519999954966,353.1980999978259,353.1980999978259
2,72,0,218.0351986110812,296.5985999981058,312.99379999836674,313.7477999989642,314.1844000056153
3,78,0,206.1579243588009,307.6842000009492,312.17170000309125,312.410299993644,312.77130000671605
4,82,0,210.59855731676558,307.2755000030156,312.4374999970314,321.9288000036613,321.9637000001967
5,80,0,202.8839237496868,296.9868999934988,311.67740000091726,312.3577000005753,312.508600000001
6,80,0,207.1031737505109,297.60730000270996,312.70269999367883,313.01719999464694,313.3994000017992
7,79,0,204.46191392389503,297.1873000060441,312.02789999952074,312.58320000051754,312.87009999505244
8,79,0,203.56066075954556,296.78640000201995,312.1324999956414,326.3779999979306,326.8590999941807
9,81,0,206.18887654339312,296.9907999940915,312.14840000029653,314.1797999996925,314.6461000069394
10,52,0,257.13801153856014,309.77469999925233,312.41539999609813,312.8417000043555,313.514599998598
11,33,0,225.4491636364643,297.88160000316566,312.1984000026714,312.55500000406755,312.55500000406755
12,10,0,149.11270999946282,46.15370000101393,312.68099999579135,312.68099999579135,312.68099999579135
