t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
27,1004,0,8568.732254083689,8568.545299996913,8611.939199996414,8823.12539999839,8824.525300005917
28,1096,0,9410.508428193434,9470.593799997005,9517.583200002264,9523.711199995887,9525.133000002825
29,1083,0,9008.320585965104,9054.61710000236,9312.799999999697,9317.142200001399,9327.554199997394
30,1561,0,8585.439841575973,8546.899900000426,9010.597500004224,9018.017899994447,9019.78589999635
31,2661,0,9004.411061969155,8890.355400006229,9652.672899996105,9664.333300002909,9667.407000000821
32,2503,0,8605.345817658814,8412.951199999952,9159.748600002786,9183.402200003911,9362.435099996219
33,653,0,9215.237441960198,9238.74450000585,9266.267399994831,9269.153500004904,9270.158299994364
34,1482,0,8747.221001686896,8790.482799995516,9175.319699999818,9181.815399999323,9308.967199998733
35,757,0,8966.993359577235,8963.708600000245,8999.662100002752,9197.14440000098,9197.910000002594
36,1004,0,8925.294613545673,8960.231099998055,9002.891900003306,9006.847800003015,9203.079300001264
37,98,0,6981.698665306256,6830.716199998278,7161.899500002619,7162.255600000208,7726.747399996384
38,2099,0,8811.073993568412,8851.173100003507,8950.547499996901,8965.269200001785,9113.27159999928
39,1588,0,8710.49740591934,8600.422600000456,9009.7511999993,9022.807699999248,9036.610600000131
40,1365,0,8806.29106857154,8987.311699995189,9035.460700004478,9144.684899998538,9148.784299999534
41,1361,0,8680.233903894128,8643.044999997073,9011.054399998102,9124.917599998298,9129.660500002501
42,2469,0,8641.81850720936,8505.637299997034,8923.355499995523,8935.289799999737,9110.910299998068
43,2122,0,8858.963175306413,8811.893199999759,9162.623599993822,9171.780999997281,9179.813199996715
44,14,0,7566.137485713885,7563.409300004423,7564.007100001618,7601.049699995201,7601.049699995201
45,1084,0,9141.798399169827,9234.368900004483,9299.536900005478,9305.782999996154,9507.733800004644
46,829,0,8552.552702171402,8940.41930000094,9273.270999998203,9278.014399998938,9278.866100001324
47,3323,0,8675.870647276588,8782.257799997751,9287.531499998295,9309.049200004665,9398.27669999795
48,90,0,8029.514634444705,8029.872899998736,8034.540999993624,8034.84120000212,8034.936999996717
49,622,0,8670.167737781421,8859.033600005205,8892.985699996643,8988.572100002784,8989.8067000031
50,2227,0,8610.501395015648,8807.310500000312,9307.272199999716,9317.412800002785,9319.908999998006
51,2388,0,8685.01668086262,8794.922500004759,8914.930099999765,8933.83360000007,8936.816699999326
52,1921,0,8593.194640551816,8715.52120000706,8903.500300002634,8918.475099999341,8924.340199999278
53,279,0,7263.889090681315,7339.9568000022555,7362.118700002611,7363.42650000006,7364.699600002496
54,1083,0,8359.12124810703,8345.021900000575,8488.049200001115,8595.166300001438,8598.410600003263
55,824,0,7195.872270873727,6703.378199999861,8448.841400000674,8452.760299995134,8483.05309999705
56,2855,0,8015.6044158668565,8060.06360000174,8516.343000002962,8531.174499999906,8534.680100005062
57,925,0,6008.8512357836435,6186.687400004303,6768.087299999024,6773.44489999814,6774.9809000015375
58,3326,0,7079.65255892972,7398.573400001624,7980.563999997685,7996.986600002856,8152.595699997619
59,1313,0,7594.291568316767,7531.4566000015475,7922.507399998722,7928.586300004099,7929.989600001136
60,1269,0,6857.671518912358,6797.641100005421,7279.990700000781,7285.189599999285,7286.204099997121
61,2225,0,5856.40622602244,6099.100299994461,6179.594399996859,6381.133199996839,6435.6850999974995
62,4252,0,4450.8679464722545,4306.95609999384,4989.314200000081,5002.233299994259,5074.151999993774
63,3433,0,3052.3019030294536,2919.6936000007554,3658.0586999989464,3919.0091000054963,3924.1931999931694
