t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,1878,0,152.6056169329458,64.02019999950426,516.9974000018556,603.567700003623,611.7241000029026
1,1844,0,261.4011849238558,60.97030000091763,966.119600001548,1091.5138999989722,1328.9567999963765
2,2001,0,551.8550305347636,72.13390000106301,1688.3166000043275,2038.9930000019376,2047.1216999940225
3,2054,0,868.8896944986056,78.67249999981141,2267.614500000491,2563.664499997685,2834.4070999955875
4,1834,0,793.5743252998841,50.224400001752656,2953.9674000043306,3600.3965999989305,3607.8387000015937
5,1767,0,1138.7107852293148,84.40139999584062,3718.6086000001524,3975.169500001357,3977.9245000027004
6,1919,0,1297.258775768637,52.23379999370081,4399.650699997437,4880.512299998372,4995.346399999107
7,1564,0,1027.9928799872418,92.63830000418238,4955.384799999592,5121.976000002178,5422.498599997198
8,1918,0,2213.385915484915,71.5113999976893,6168.487700000696,6649.61680000124,6700.236700002279
9,1820,0,1627.76948681317,108.6728000009316,6367.401999996218,6983.659099998476,7030.560400002287
10,1366,0,6005.468721083508,6417.419999997946,8214.34159999626,8239.280800000415,8240.833900003054
11,992,0,6995.295467237919,6869.529600000533,8725.61819999828,8753.635799999756,8761.448299999756
12,1986,0,7801.8366098691195,7237.308999996458,9030.883600004017,9083.243300003232,9102.747800003272
13,1319,0,7855.970758453322,7313.949900002626,9425.824199999624,9606.849100004183,9629.931399998895
14,1858,0,7311.927318030168,7005.517999998119,9580.104499997105,9991.824099997757,10009.0984999988
15,2245,0,7704.602066013323,6965.553300004103,10207.340900000418,10353.155199998582,10361.416200001258
16,1461,0,7376.161795551028,6542.408400004206,10310.089600003266,10350.241000000096,10406.261900003301
17,586,0,10102.370474573167,10267.227800002729,10523.104400002921,10555.483999996795,10558.13820000185
18,1004,0,9465.157530278966,9600.106899997627,9950.10679999541,10003.138100000797,10017.96280000417
19,1594,0,8807.388966122984,8756.853999999294,9204.525300003297,9245.726699999068,9250.271900004009
20,734,0,8684.735954904636,8698.594300003606,8788.035799996578,8803.380800003652,8804.272500005027
21,2421,0,8519.365339859627,8540.48160000093,8825.371299994003,8846.609000000171,8851.97600000538
22,1652,0,8641.596722033957,8639.660799999547,9008.814399996481,9019.11839999957,9160.695599995961
23,854,0,8681.66597751768,8722.381500003394,8804.852299996128,8807.243000002927,8808.077399997273
24,3298,0,8685.256355639864,8622.660199995153,9227.150799997617,9278.998100002354,9283.449300004577
25,486,0,9182.8709135804,9195.425600002636,9261.74770000216,9269.775399996433,9270.64419999806
26,757,0,8834.869503830894,8848.936900001718,9194.05099999858,9195.882499996515,9592.128199998115
