t_s,user_id,step,latency_ms,ok,error
0.041503,10000,start,39.284,1,
0.056633,10001,start,31.084,1,
0.072391,10002,start,31.198,1,
0.087737,10003,start,44.770,1,
0.088352,10000,new_chat,46.794,1,
0.088573,10004,start,32.234,1,
0.103404,10001,new_chat,46.724,1,
0.103682,10005,start,31.630,1,
0.119258,10006,start,31.212,1,
0.119580,10002,new_chat,47.134,1,
0.134886,10007,start,31.937,1,
0.135137,10004,new_chat,46.526,1,
0.135351,10003,new_chat,47.563,1,
0.135544,10008,start,31.642,1,
0.150322,10005,new_chat,46.608,1,
0.150674,10009,start,31.758,1,
0.165624,10006,new_chat,46.311,1,
0.165864,10010,start,31.287,1,
0.180968,10011,start,31.280,1,
0.181252,10007,new_chat,46.322,1,
0.181495,10008,new_chat,45.920,1,
0.196512,10012,start,31.620,1,
0.196825,10009,new_chat,46.111,1,
0.197101,10013,start,31.038,1,
0.211666,10010,new_chat,45.771,1,
0.211946,10014,start,31.355,1,
0.227755,10011,new_chat,46.736,1,
0.228031,10015,start,31.937,1,
0.243106,10016,start,31.872,1,
0.243401,10012,new_chat,46.826,1,
0.243677,10013,new_chat,46.538,1,
0.258880,10017,start,31.613,1,
0.259160,10014,new_chat,47.174,1,
0.259426,10018,start,31.134,1,
0.274387,10015,new_chat,46.316,1,
0.274675,10019,start,31.884,1,
0.290375,10016,new_chat,47.195,1,
0.290653,10020,start,32.143,1,
0.305068,10021,start,31.128,1,
0.305342,10018,new_chat,45.878,1,
0.305557,10017,new_chat,46.626,1,
0.320261,10022,start,30.896,1,
0.320594,10019,new_chat,45.879,1,
0.321302,10023,start,30.387,1,
0.335475,10020,new_chat,44.791,1,
0.335760,10024,start,31.114,1,
0.351362,10021,new_chat,46.249,1,
0.351680,10025,start,31.781,1,
0.367406,10022,new_chat,47.089,1,
0.367674,10023,new_chat,46.333,1,
0.368080,10026,start,32.946,1,
0.383433,10027,start,32.525,1,
0.383659,10024,new_chat,47.865,1,
0.399348,10028,start,32.389,1,
0.399570,10000,chat_msg,311.176,1,
0.399617,10025,new_chat,47.903,1,
0.399814,10029,start,31.923,1,
0.400007,10001,chat_msg,296.544,1,
0.414662,10026,new_chat,46.550,1,
0.414893,10030,start,31.748,1,
0.415107,10002,chat_msg,295.479,1,
0.430034,10027,new_chat,46.560,1,
0.430260,10031,start,31.151,1,
0.430686,10004,chat_msg,295.512,1,
0.430745,10003,chat_msg,295.362,1,
0.445740,10032,start,31.464,1,
0.445953,10029,new_chat,46.108,1,
0.446152,10028,new_chat,46.768,1,
0.446366,10033,start,31.009,1,
0.446562,10005,chat_msg,296.169,1,
0.461731,10030,new_chat,46.805,1,
0.462054,10034,start,32.715,1,
0.462346,10006,chat_msg,296.681,1,
0.477503,10031,new_chat,47.188,1,
0.477750,10035,start,32.289,1,
0.477960,10007,chat_msg,296.665,1,
0.478003,10008,chat_msg,296.469,1,
0.492530,10036,start,31.334,1,
0.492758,10032,new_chat,46.983,1,
0.492961,10033,new_chat,46.566,1,
0.493270,10009,chat_msg,296.400,1,
0.508087,10037,start,31.020,1,
0.508402,10034,new_chat,46.300,1,
0.508686,10010,chat_msg,296.969,1,
0.508727,10038,start,30.632,1,
0.523639,10035,new_chat,45.855,1,
0.523853,10039,start,31.624,1,
0.524065,10011,chat_msg,296.257,1,
0.538612,10036,new_chat,46.042,1,
0.538841,10040,start,31.109,1,
0.539060,10012,chat_msg,295.618,1,
0.539100,10013,chat_msg,295.383,1,
