t_s,user_id,step,latency_ms,ok,error
0.048885,10000,start,45.013,1,
0.051018,10001,start,34.516,1,
0.051242,10002,start,34.239,1,
0.065269,10003,start,32.807,1,
0.065493,10004,start,32.691,1,
0.080947,10005,start,30.409,1,
0.081185,10006,start,30.380,1,
0.082082,10007,start,30.474,1,
0.096105,10008,start,31.686,1,
0.096319,10001,new_chat,45.261,1,
0.096547,10002,new_chat,45.272,1,
0.096749,10000,new_chat,47.765,1,
0.096958,10009,start,31.933,1,
0.112015,10010,start,32.227,1,
0.112252,10004,new_chat,46.727,1,
0.112461,10003,new_chat,47.154,1,
0.112651,10011,start,32.422,1,
0.113024,10012,start,32.294,1,
0.128225,10013,start,32.635,1,
0.128498,10006,new_chat,47.283,1,
0.128717,10005,new_chat,47.727,1,
0.128962,10007,new_chat,46.827,1,
0.129199,10014,start,33.290,1,
0.129476,10015,start,30.935,1,
0.144730,10009,new_chat,47.742,1,
0.145069,10008,new_chat,48.928,1,
0.145543,10016,start,33.787,1,
0.145885,10017,start,33.051,1,
0.160288,10018,start,32.827,1,
0.160560,10010,new_chat,48.505,1,
0.160838,10011,new_chat,48.156,1,
0.161064,10012,new_chat,48.012,1,
0.161431,10019,start,33.423,1,
0.161711,10020,start,31.850,1,
0.175512,10021,start,31.449,1,
0.175768,10014,new_chat,46.533,1,
0.175990,10013,new_chat,47.704,1,
0.176175,10015,new_chat,46.661,1,
0.176377,10022,start,31.063,1,
0.191568,10023,start,32.036,1,
0.191794,10016,new_chat,46.171,1,
0.191992,10017,new_chat,46.058,1,
0.192200,10024,start,32.162,1,
0.192598,10025,start,30.638,1,
0.207334,10026,start,32.479,1,
0.207546,10019,new_chat,46.072,1,
0.207736,10020,new_chat,45.986,1,
0.207917,10018,new_chat,47.583,1,
0.208096,10027,start,32.829,1,
0.222707,10028,start,31.779,1,
0.223031,10021,new_chat,47.476,1,
0.223270,10022,new_chat,46.864,1,
0.223571,10029,start,32.252,1,
0.223879,10030,start,31.478,1,
0.238144,10031,start,31.809,1,
0.238420,10024,new_chat,46.191,1,
0.238653,10025,new_chat,46.024,1,
0.238878,10023,new_chat,47.268,1,
0.239124,10032,start,31.990,1,
0.253928,10033,start,32.052,1,
0.254192,10027,new_chat,46.068,1,
0.254430,10026,new_chat,47.059,1,
0.254751,10034,start,32.368,1,
0.255082,10035,start,30.950,1,
0.270614,10036,start,33.216,1,
0.270922,10029,new_chat,47.303,1,
0.271174,10028,new_chat,48.410,1,
0.271402,10030,new_chat,47.479,1,
0.271618,10037,start,33.725,1,
0.284673,10038,start,31.670,1,
0.284949,10032,new_chat,45.785,1,
0.285150,10031,new_chat,46.959,1,
0.285335,10039,start,31.777,1,
0.285850,10040,start,30.521,1,
0.301044,10041,start,32.035,1,
0.301307,10035,new_chat,46.185,1,
0.301546,10033,new_chat,47.571,1,
0.301823,10034,new_chat,46.988,1,
0.302082,10042,start,31.838,1,
0.303945,10043,start,30.433,1,
0.316822,10037,new_chat,45.171,1,
0.317076,10036,new_chat,46.407,1,
0.317276,10044,start,32.942,1,
0.317484,10045,start,31.171,1,
0.332191,10046,start,32.052,1,
0.332405,10038,new_chat,47.682,1,
0.332666,10039,new_chat,47.301,1,
0.332903,10040,new_chat,47.018,1,
0.333140,10047,start,32.410,1,
0.347974,10048,start,31.905,1,
0.348182,10041,new_chat,47.091,1,
0.348372,10042,new_chat,46.258,1,
0.348551,10043,new_chat,44.569,1,
0.348832,10049,start,32.270,1,
0.349123,10050,start,31.414,1,
0.363055,10051,start,31.378,1,
0.363286,10045,new_chat,45.773,1,
0.363485,10044,new_chat,46.178,1,
0.363758,10052,start,31.777,1,
0.378291,10053,start,31.283,1,
0.378504,10047,new_chat,45.328,1,
0.378701,10046,new_chat,46.475,1,
0.378910,10054,start,31.598,1,
0.380197,10055,start,30.833,1,
0.393677,10056,start,31.492,1,
0.393970,10050,new_chat,44.809,1,
0.394213,10049,new_chat,45.337,1,
0.394399,10048,new_chat,46.392,1,
0.394713,10057,start,31.974,1,
0.394952,10002,chat_msg,298.370,1,
0.395010,10001,chat_msg,298.652,1,
0.395059,10000,chat_msg,298.279,1,
0.409662,10058,start,31.968,1,
0.409953,10051,new_chat,46.855,1,
0.410150,10052,new_chat,46.346,1,
0.410340,10059,start,32.261,1,
0.410569,10003,chat_msg,298.077,1,
0.410647,10004,chat_msg,298.358,1,
0.410760,10060,start,30.853,1,
0.425165,10061,start,32.313,1,
0.425386,10053,new_chat,47.058,1,
0.425769,10054,new_chat,46.827,1,
0.425964,10055,new_chat,45.723,1,
0.426144,10062,start,32.770,1,
0.426350,10005,chat_msg,297.602,1,
0.426392,10007,chat_msg,297.384,1,
0.426448,10006,chat_msg,297.909,1,
0.440735,10063,start,31.790,1,
0.440964,10056,new_chat,47.231,1,
0.441170,10057,new_chat,46.419,1,
0.441363,10064,start,31.987,1,
0.441577,10009,chat_msg,296.776,1,
0.441619,10008,chat_msg,296.509,1,
0.441703,10065,start,30.693,1,
0.456816,10066,start,31.992,1,
0.457119,10059,new_chat,46.749,1,
0.457315,10058,new_chat,47.602,1,
0.457501,10060,new_chat,46.708,1,
0.457726,10067,start,32.145,1,
0.458004,10012,chat_msg,296.839,1,
0.458059,10010,chat_msg,297.456,1,
0.458104,10011,chat_msg,297.228,1,
0.472215,10068,start,32.118,1,
0.472424,10061,new_chat,47.223,1,
0.472627,10062,new_chat,46.456,1,
0.472812,10069,start,32.289,1,
0.473026,10013,chat_msg,297.005,1,
0.473068,10015,chat_msg,296.863,1,
0.473104,10014,chat_msg,297.296,1,
0.473133,10070,start,31.022,1,
0.488061,10071,start,32.001,1,
0.488270,10065,new_chat,46.526,1,
0.488467,10063,new_chat,47.690,1,
0.488649,10064,new_chat,47.256,1,
0.488829,10072,start,32.309,1,
0.489154,10017,chat_msg,297.111,1,
0.489205,10016,chat_msg,297.376,1,
0.503446,10073,start,31.799,1,
0.503659,10067,new_chat,45.892,1,
0.503927,10066,new_chat,47.060,1,
0.504173,10074,start,32.153,1,
0.504415,10020,chat_msg,296.650,1,
0.504459,10019,chat_msg,296.882,1,
0.504493,10018,chat_msg,296.546,1,
0.504606,10075,start,31.069,1,
0.519314,10076,start,31.934,1,
0.519590,10069,new_chat,46.748,1,
0.519853,10068,new_chat,47.604,1,
0.520099,10070,new_chat,46.939,1,
0.520349,10077,start,32.512,1,
0.520574,10022,chat_msg,297.266,1,
0.520615,10021,chat_msg,297.544,1,
0.535284,10078,start,32.339,1,
0.535520,10072,new_chat,46.661,1,
0.535735,10071,new_chat,47.639,1,
0.535932,10079,start,32.682,1,
0.536213,10025,chat_msg,297.521,1,
0.536258,10024,chat_msg,297.797,1,
0.536335,10023,chat_msg,297.421,1,
0.536417,10080,start,31.599,1,
0.551365,10081,start,32.683,1,
0.551588,10073,new_chat,48.107,1,
0.551792,10075,new_chat,47.156,1,
0.551986,10074,new_chat,47.780,1,
0.552167,10082,start,33.103,1,
0.552424,10027,chat_msg,298.192,1,
0.552526,10026,chat_msg,298.059,1,
0.566509,10083,start,31.816,1,
0.566724,10076,new_chat,47.364,1,
0.566923,10077,new_chat,46.542,1,
0.567111,10084,start,32.050,1,
0.567330,10028,chat_msg,296.118,1,
0.567373,10030,chat_msg,295.937,1,
0.567409,10029,chat_msg,296.445,1,
0.567518,10085,start,30.863,1,
0.583073,10086,start,32.267,1,
0.583286,10079,new_chat,47.319,1,
0.583480,10078,new_chat,48.153,1,
0.583698,10080,new_chat,47.243,1,
0.583905,10087,start,32.744,1,
0.584334,10032,chat_msg,299.350,1,
0.584388,10031,chat_msg,299.206,1,
0.598781,10088,start,32.794,1,
0.598986,10082,new_chat,46.790,1,
0.599183,10081,new_chat,47.779,1,
0.599373,10089,start,33.066,1,
0.599651,10033,chat_msg,298.067,1,
0.599693,10034,chat_msg,297.829,1,
0.599729,10035,chat_msg,298.380,1,
0.599783,10090,start,32.070,1,
0.616684,10091,start,34.303,1,
0.616963,10084,new_chat,49.818,1,
0.617165,10083,new_chat,50.621,1,
0.617342,10085,new_chat,49.794,1,
0.617516,10092,start,34.676,1,
0.617715,10037,chat_msg,300.845,1,
0.617754,10036,chat_msg,300.645,1,
0.617783,10093,start,31.688,1,
0.630426,10087,new_chat,46.487,1,
0.630637,10086,new_chat,47.529,1,
0.630895,10094,start,33.010,1,
0.631208,10038,chat_msg,298.770,1,
0.631494,10039,chat_msg,298.786,1,
0.631542,10040,chat_msg,298.604,1,
0.631583,10095,start,31.600,1,
0.645991,10096,start,32.167,1,
0.646194,10088,new_chat,47.377,1,
0.646387,10090,new_chat,46.574,1,
0.646631,10089,new_chat,47.229,1,
0.646953,10097,start,30.481,1,
0.647215,10041,chat_msg,299.001,1,
0.647288,10042,chat_msg,298.887,1,
0.647336,10043,chat_msg,298.755,1,
0.648266,10098,start,30.301,1,
0.661701,10099,start,32.348,1,
0.661969,10091,new_chat,45.250,1,
0.662261,10093,new_chat,44.451,1,
0.662552,10092,new_chat,45.009,1,
0.662851,10045,chat_msg,299.531,1,
0.663122,10044,chat_msg,299.606,1,
0.663166,10100,start,31.907,1,
0.677281,10101,start,32.292,1,
0.677512,10094,new_chat,46.584,1,
0.677721,10095,new_chat,46.104,1,
0.677948,10102,start,32.202,1,
0.678149,10047,chat_msg,299.611,1,
0.678194,10046,chat_msg,299.462,1,
0.679169,10103,start,30.672,1,
0.692703,10104,start,32.202,1,
0.693068,10096,new_chat,47.040,1,
0.693303,10097,new_chat,46.308,1,
0.693513,10098,new_chat,45.210,1,
0.693743,10048,chat_msg,299.313,1,
0.693791,10050,chat_msg,299.751,1,
0.693831,10049,chat_msg,299.586,1,
0.694073,10105,start,31.165,1,
0.709231,10106,start,33.419,1,
0.709448,10100,new_chat,46.237,1,
0.709641,10099,new_chat,47.884,1,
0.709902,10107,start,32.894,1,
0.710107,10051,chat_msg,300.120,1,
0.710151,10052,chat_msg,299.969,1,
0.710198,10108,start,30.315,1,
0.723314,10101,new_chat,45.989,1,
0.723564,10102,new_chat,45.584,1,
0.723789,10109,start,32.433,1,
0.724079,10103,new_chat,44.868,1,
0.724430,10054,chat_msg,298.629,1,
0.724477,10055,chat_msg,298.483,1,
0.724521,10053,chat_msg,299.102,1,
0.724761,10110,start,30.892,1,
0.738609,10111,start,31.924,1,
0.738821,10105,new_chat,44.716,1,
0.739028,10104,new_chat,46.255,1,
0.739300,10112,start,30.289,1,
0.739896,10056,chat_msg,298.897,1,
0.740179,10057,chat_msg,298.977,1,
0.741917,10113,start,30.688,1,
0.753887,10114,start,31.525,1,
0.754133,10108,new_chat,43.909,1,
0.754400,10106,new_chat,45.129,1,
0.754668,10107,new_chat,44.736,1,
0.754996,10058,chat_msg,297.650,1,
0.755064,10059,chat_msg,297.910,1,
0.755115,10060,chat_msg,297.585,1,
0.755405,10115,start,30.845,1,
0.769430,10116,start,31.978,1,
0.769716,10110,new_chat,44.923,1,
0.769963,10109,new_chat,46.138,1,
0.770213,10117,start,32.325,1,
0.770496,10061,chat_msg,298.039,1,
0.770542,10062,chat_msg,297.884,1,
0.772899,10118,start,30.507,1,
0.783488,10112,new_chat,44.157,1,
0.783717,10111,new_chat,45.068,1,
0.783925,10113,new_chat,41.950,1,
0.784168,10119,start,31.139,1,
0.785274,10065,chat_msg,296.971,1,
0.785329,10063,chat_msg,296.832,1,
0.785372,10064,chat_msg,296.694,1,
0.785513,10120,start,30.351,1,
0.799875,10121,start,31.809,1,
0.800243,10115,new_chat,44.798,1,
0.800627,10114,new_chat,46.689,1,
0.801019,10122,start,32.485,1,
0.803767,10067,chat_msg,300.075,1,
0.803848,10066,chat_msg,299.872,1,
0.804048,10123,start,30.382,1,
0.813975,10116,new_chat,44.498,1,
0.814464,10117,new_chat,44.218,1,
0.814701,10118,new_chat,41.753,1,
0.814953,10124,start,31.720,1,
