t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,835,0,112.1153077845302,45.55850000178907,301.22490000212565,314.58549999661045,315.57749999774387
1,1452,0,192.6597174242438,298.04629999853205,322.12299999810057,328.29040000069654,332.1813000002294
2,1976,0,257.94484008093576,334.1264000046067,400.5235000004177,409.2938999965554,424.62130000058096
3,1794,0,348.9459074693455,382.2137999959523,673.3098999975482,697.3342999990564,707.8734999959124
4,2053,0,462.72523010241844,469.4470000031288,826.730900000257,939.1660999972373,942.4597999968682
5,1367,0,395.9612363570334,381.5443999992567,931.205000000773,936.4916999984416,944.0600000016275
6,1982,0,527.8802704843582,557.51600000076,929.983900001389,938.8311000002432,945.3326000002562
7,2224,0,587.5347428508079,661.4294999963022,946.8150000029709,960.0443000017549,965.054299995245
8,2285,0,765.1052456454978,858.6247000057483,1160.6422000040766,1164.2814000006183,1166.4173000026494
9,1156,0,520.798713062136,625.3701000023284,1072.0629999996163,1144.4409000032465,1152.4175999948056
10,2375,0,943.1790171789594,1070.8066999941366,1294.358099999954,1316.6778000013437,1322.604200002388
11,1908,0,872.008493029302,943.8369999988936,1065.3402999960235,1076.1775999999372,1089.0085999999428
12,1669,0,706.8079960455027,750.8946000016294,850.8625000031316,855.7654000032926,889.9052999986452
13,1252,0,553.0882527155467,604.8630000004778,704.1202999971574,715.9825999988243,732.390299999679
14,1272,0,299.96092036162736,266.06969999556895,523.2544000027701,534.7908999974607,578.8667000015266
