t_s,user_id,step,latency_ms,ok,error
0.036669,10000,start,36.100,1,
0.084262,10000,new_chat,47.506,1,
0.254375,10001,start,45.995,1,
0.301697,10001,new_chat,47.248,1,
0.393810,10000,chat_msg,309.454,1,
0.455294,10002,start,46.034,1,
0.501983,10002,new_chat,46.596,1,
0.628801,10001,chat_msg,327.033,1,
0.643372,10003,start,40.941,1,
0.689808,10003,new_chat,46.333,1,
0.814667,10002,chat_msg,312.599,1,
0.845293,10004,start,31.098,1,
0.892414,10004,new_chat,47.055,1,
0.907957,10000,chat_msg,312.254,1,
1.000008,10003,chat_msg,310.094,1,
1.061131,10005,start,45.894,1,
1.107664,10005,new_chat,46.467,1,
1.139223,10001,chat_msg,309.488,1,
1.200848,10004,chat_msg,308.359,1,
1.246762,10006,start,45.429,1,
1.293058,10006,new_chat,46.213,1,
1.338655,10002,chat_msg,322.930,1,
1.417166,10005,chat_msg,309.439,1,
1.417218,10000,chat_msg,309.172,1,
1.462865,10007,start,45.956,1,
1.509198,10003,chat_msg,308.262,1,
1.509291,10007,new_chat,46.364,1,
1.601636,10006,chat_msg,308.479,1,
1.633120,10008,start,31.374,1,
1.678752,10001,chat_msg,324.570,1,
1.678837,10008,new_chat,45.674,1,
1.725484,10004,chat_msg,308.956,1,
1.818491,10007,chat_msg,309.147,1,
1.834555,10009,start,31.107,1,
1.850666,10002,chat_msg,310.713,1,
1.882363,10009,new_chat,47.746,1,
1.944509,10005,chat_msg,312.147,1,
1.944597,10000,chat_msg,311.771,1,
1.990402,10008,chat_msg,311.512,1,
2.021924,10003,chat_msg,311.364,1,
2.036693,10010,start,30.812,1,
2.083632,10010,new_chat,46.863,1,
2.114378,10006,chat_msg,310.380,1,
2.192804,10001,chat_msg,310.955,1,
2.192881,10009,chat_msg,310.469,1,
2.239375,10004,chat_msg,310.058,1,
2.239441,10011,start,31.607,1,
2.285829,10011,new_chat,46.345,1,
2.316965,10007,chat_msg,295.452,1,
2.363370,10002,chat_msg,310.984,1,
2.395138,10010,chat_msg,311.440,1,
2.441907,10012,start,31.541,1,
2.473260,10000,chat_msg,312.412,1,
2.473326,10005,chat_msg,313.029,1,
2.488646,10012,new_chat,46.678,1,
2.503845,10008,chat_msg,311.524,1,
2.519727,10003,chat_msg,296.439,1,
2.583079,10011,chat_msg,297.185,1,
2.613957,10006,chat_msg,297.839,1,
2.644559,10013,start,30.962,1,
2.691489,10013,new_chat,46.855,1,
2.692198,10001,chat_msg,297.606,1,
2.692281,10009,chat_msg,297.344,1,
2.722093,10000,exit_chat,45.663,1,
2.737416,10004,chat_msg,295.947,1,
2.799256,10012,chat_msg,310.533,1,
2.830585,10007,chat_msg,311.207,1,
2.846725,10014,start,32.217,1,
2.877427,10002,chat_msg,309.891,1,
2.893262,10014,new_chat,46.460,1,
2.908551,10010,chat_msg,310.103,1,
2.939344,10001,exit_chat,45.641,1,
2.987143,10005,chat_msg,310.178,1,
3.003171,10013,chat_msg,311.578,1,
3.017515,10008,chat_msg,310.945,1,
3.033091,10003,chat_msg,310.916,1,
3.033224,10015,start,30.349,1,
3.079698,10015,new_chat,46.433,1,
3.094875,10011,chat_msg,311.297,1,
3.110926,10006,chat_msg,296.058,1,
3.111144,10002,exit_chat,31.836,1,
3.206793,10009,chat_msg,312.874,1,
3.206867,10014,chat_msg,313.516,1,
3.237087,10016,start,31.116,1,
3.237452,10004,chat_msg,298.035,1,
3.282910,10003,exit_chat,46.184,1,
3.282973,10016,new_chat,45.826,1,
3.313555,10012,chat_msg,311.088,1,
3.328914,10007,chat_msg,296.168,1,
3.391882,10015,chat_msg,312.135,1,
3.423609,10010,chat_msg,313.027,1,
3.439026,10017,start,30.870,1,
3.470445,10004,exit_chat,31.757,1,
3.486416,10017,new_chat,47.345,1,
3.502321,10005,chat_msg,311.836,1,
3.517981,10013,chat_msg,311.468,1,
3.518036,10008,chat_msg,296.771,1,
3.580259,10016,chat_msg,297.222,1,
3.596090,10011,chat_msg,298.455,1,
3.611223,10006,chat_msg,298.003,1,
3.641500,10018,start,30.807,1,
3.687567,10018,new_chat,46.000,1,
3.718240,10009,chat_msg,309.531,1,
3.718303,10014,chat_msg,309.364,1,
3.733920,10005,exit_chat,31.397,1,
3.796439,10017,chat_msg,309.955,1,
3.842532,10012,chat_msg,324.889,1,
3.842631,10007,chat_msg,309.400,1,
3.842693,10019,start,31.371,1,
3.843293,10006,exit_chat,31.654,1,
3.889500,10019,new_chat,46.749,1,
3.904822,10015,chat_msg,309.105,1,
3.935613,10010,chat_msg,309.394,1,
3.999552,10018,chat_msg,311.907,1,
4.031027,10008,chat_msg,312.416,1,
4.031104,10013,chat_msg,312.742,1,
4.047225,10020,start,32.348,1,
4.093450,10016,chat_msg,312.572,1,
4.093530,10007,exit_chat,46.520,1,
4.093577,10020,new_chat,46.284,1,
4.093959,10011,chat_msg,297.441,1,
4.188524,10019,chat_msg,298.946,1,
4.219059,10014,chat_msg,298.173,1,
4.219140,10009,chat_msg,298.673,1,
4.234839,10021,start,30.813,1,
4.281459,10008,exit_chat,47.186,1,
4.281530,10021,new_chat,46.650,1,
4.298117,10017,chat_msg,298.954,1,
4.344261,10012,chat_msg,297.629,1,
4.390835,10020,chat_msg,297.209,1,
4.406762,10015,chat_msg,297.747,1,
4.437562,10022,start,31.259,1,
4.438142,10010,chat_msg,297.825,1,
4.453717,10009,exit_chat,31.573,1,
4.484498,10022,new_chat,46.779,1,
4.515765,10018,chat_msg,312.218,1,
4.531638,10013,chat_msg,297.021,1,
4.578797,10021,chat_msg,297.214,1,
4.594752,10016,chat_msg,297.298,1,
4.594809,10011,chat_msg,296.962,1,
4.641889,10023,start,32.039,1,
4.688608,10010,exit_chat,47.137,1,
4.688698,10023,new_chat,46.746,1,
4.689193,10019,chat_msg,298.739,1,
4.720978,10014,chat_msg,299.153,1,
4.783662,10022,chat_msg,299.101,1,
4.799307,10017,chat_msg,299.067,1,
4.845361,10011,exit_chat,46.262,1,
4.845435,10024,start,31.402,1,
4.845799,10012,chat_msg,298.071,1,
4.892779,10024,new_chat,47.298,1,
4.893036,10020,chat_msg,298.690,1,
4.908409,10015,chat_msg,298.226,1,
4.988527,10023,chat_msg,299.764,1,
5.018846,10018,chat_msg,298.206,1,
5.051941,10025,start,47.756,1,
5.052701,10013,chat_msg,316.357,1,
5.096896,10021,chat_msg,313.666,1,
5.097297,10012,exit_chat,44.492,1,
5.099546,10025,new_chat,47.460,1,
5.101063,10016,chat_msg,302.265,1,
5.191040,10019,chat_msg,298.628,1,
5.191102,10024,chat_msg,298.267,1,
5.222652,10014,chat_msg,298.143,1,
5.237635,10026,start,30.696,1,
5.283707,10026,new_chat,45.999,1,
5.284246,10022,chat_msg,296.317,1,
5.284623,10013,exit_chat,31.717,1,
5.315180,10017,chat_msg,311.690,1,
5.409250,10025,chat_msg,309.486,1,
5.409317,10020,chat_msg,311.547,1,
5.409365,10015,chat_msg,297.720,1,
5.440602,10027,start,31.859,1,
5.456148,10014,exit_chat,31.638,1,
5.487415,10027,new_chat,46.733,1,
5.503093,10023,chat_msg,312.450,1,
5.519383,10018,chat_msg,297.179,1,
5.581541,10026,chat_msg,297.757,1,
5.597433,10021,chat_msg,298.167,1,
5.613541,10016,chat_msg,299.000,1,
5.644525,10028,start,31.914,1,
5.644952,10015,exit_chat,31.585,1,
5.693552,10028,new_chat,48.951,1,
5.693961,10024,chat_msg,299.826,1,
5.694011,10019,chat_msg,300.432,1,
5.786997,10022,chat_msg,299.974,1,
5.787049,10027,chat_msg,299.588,1,
5.819187,10017,chat_msg,300.210,1,
5.834678,10029,start,31.272,1,
5.850290,10016,exit_chat,31.413,1,
5.881743,10029,new_chat,46.987,1,
5.913471,10020,chat_msg,300.281,1,
5.913572,10025,chat_msg,300.587,1,
5.992534,10028,chat_msg,298.914,1,
6.007965,10023,chat_msg,299.539,1,
6.023639,10018,chat_msg,299.322,1,
6.038603,10030,start,30.943,1,
6.068958,10017,exit_chat,45.794,1,
6.084303,10030,new_chat,45.619,1,
6.084859,10026,chat_msg,298.282,1,
6.099237,10021,chat_msg,296.269,1,
6.193339,10029,chat_msg,311.537,1,
6.209796,10024,chat_msg,312.242,1,
6.209847,10019,chat_msg,312.011,1,
6.240426,10031,start,31.037,1,
6.256367,10018,exit_chat,31.217,1,
6.288549,10031,new_chat,48.044,1,
6.303659,10027,chat_msg,311.425,1,
6.303713,10022,chat_msg,311.903,1,
6.396846,10030,chat_msg,312.463,1,
6.413419,10020,chat_msg,298.831,1,
6.413474,10025,chat_msg,298.537,1,
6.443983,10032,start,31.472,1,
6.444586,10019,exit_chat,31.383,1,
6.490819,10032,new_chat,46.761,1,
6.491311,10028,chat_msg,297.856,1,
6.522418,10023,chat_msg,312.530,1,
6.601987,10031,chat_msg,313.390,1,
6.602053,10026,chat_msg,313.897,1,
6.602097,10021,chat_msg,298.687,1,
6.633574,10033,start,31.428,1,
6.649762,10020,exit_chat,31.873,1,
6.681463,10033,new_chat,47.814,1,
6.697681,10029,chat_msg,301.246,1,
6.713457,10024,chat_msg,300.478,1,
6.791745,10032,chat_msg,300.844,1,
6.808509,10022,chat_msg,301.531,1,
6.808560,10027,chat_msg,301.950,1,
6.838482,10034,start,30.970,1,
6.853830,10021,exit_chat,45.504,1,
6.885737,10034,new_chat,47.177,1,
6.901616,10030,chat_msg,300.096,1,
6.917261,10025,chat_msg,299.034,1,
6.995788,10033,chat_msg,314.266,1,
6.995911,10028,chat_msg,298.489,1,
7.025988,10023,chat_msg,297.376,1,
7.041662,10035,start,31.280,1,
7.042179,10022,exit_chat,31.438,1,
7.089181,10035,new_chat,47.461,1,
7.121249,10031,chat_msg,313.319,1,
7.121314,10026,chat_msg,313.171,1,
7.183431,10034,chat_msg,297.632,1,
7.199297,10029,chat_msg,297.994,1,
7.214900,10024,chat_msg,297.935,1,
7.247051,10036,start,32.473,1,
7.262650,10023,exit_chat,31.227,1,
7.293586,10036,new_chat,46.454,1,
7.294077,10032,chat_msg,298.716,1,
7.308827,10027,chat_msg,297.884,1,
7.388562,10035,chat_msg,299.293,1,
7.404239,10030,chat_msg,299.494,1,
7.419198,10025,chat_msg,298.274,1,
7.434352,10037,start,30.388,1,
7.465707,10024,exit_chat,46.808,1,
7.480723,10037,new_chat,46.311,1,
7.495886,10033,chat_msg,297.216,1,
7.495985,10028,chat_msg,296.932,1,
7.606929,10036,chat_msg,313.256,1,
7.622446,10026,chat_msg,297.520,1,
7.622518,10031,chat_msg,297.904,1,
7.637691,10038,start,31.501,1,
7.653542,10025,exit_chat,31.451,1,
7.684766,10038,new_chat,46.994,1,
7.685165,10034,chat_msg,297.041,1,
7.715988,10029,chat_msg,312.512,1,
7.779233,10037,chat_msg,298.442,1,
7.794449,10032,chat_msg,298.887,1,
7.810760,10027,chat_msg,299.369,1,
7.855368,10039,start,45.381,1,
7.870504,10026,exit_chat,45.463,1,
7.886738,10035,chat_msg,296.305,1,
7.901747,10039,new_chat,46.316,1,
7.917732,10030,chat_msg,311.039,1,
7.994614,10038,chat_msg,309.773,1,
8.011325,10028,chat_msg,310.476,1,
8.011399,10033,chat_msg,310.856,1,
8.041639,10040,start,30.865,1,
8.042559,10027,exit_chat,31.088,1,
8.089095,10040,new_chat,47.402,1,
8.120049,10036,chat_msg,309.540,1,
8.120478,10031,chat_msg,295.127,1,
8.199050,10034,chat_msg,312.631,1,
8.214974,10039,chat_msg,313.152,1,
8.230426,10029,chat_msg,312.992,1,
8.245989,10041,start,31.992,1,
8.246530,10028,exit_chat,32.066,1,
8.277388,10037,chat_msg,297.622,1,
8.293423,10041,new_chat,47.355,1,
8.293904,10032,chat_msg,299.224,1,
8.387679,10035,chat_msg,298.948,1,
8.387739,10040,chat_msg,298.593,1,
8.418780,10030,chat_msg,299.131,1,
8.434886,10042,start,31.367,1,
8.481650,10029,exit_chat,47.125,1,
8.482133,10042,new_chat,47.203,1,
8.497486,10038,chat_msg,298.816,1,
8.512563,10033,chat_msg,297.800,1,
8.605653,10041,chat_msg,312.125,1,
8.621132,10031,chat_msg,296.289,1,
8.621194,10036,chat_msg,296.720,1,
8.651620,10043,start,46.282,1,
8.651987,10030,exit_chat,31.502,1,
8.698494,10043,new_chat,46.817,1,
8.714518,10034,chat_msg,311.442,1,
8.731129,10039,chat_msg,312.667,1,
8.793980,10037,chat_msg,312.239,1,
8.794101,10042,chat_msg,311.926,1,
8.794177,10032,chat_msg,297.049,1,
8.840741,10044,start,30.679,1,
8.872347,10031,exit_chat,47.203,1,
8.888404,10044,new_chat,47.596,1,
8.888841,10040,chat_msg,298.032,1,
8.888894,10035,chat_msg,298.457,1,
9.000067,10038,chat_msg,301.241,1,
9.000128,10043,chat_msg,301.580,1,
9.014991,10033,chat_msg,300.409,1,
9.046951,10032,exit_chat,47.216,1,
9.047038,10045,start,45.468,1,
9.095138,10045,new_chat,48.030,1,
9.110507,10041,chat_msg,300.032,1,
9.125669,10036,chat_msg,300.227,1,
9.188629,10044,chat_msg,300.134,1,
9.220811,10034,chat_msg,299.824,1,
9.251671,10046,start,45.972,1,
9.252116,10039,chat_msg,315.540,1,
9.252206,10033,exit_chat,31.726,1,
9.298654,10046,new_chat,46.899,1,
9.299088,10037,chat_msg,300.004,1,
9.299136,10042,chat_msg,299.651,1,
9.407091,10040,chat_msg,312.611,1,
9.407151,10035,chat_msg,312.279,1,
9.407194,10045,chat_msg,312.008,1,
9.437393,10047,start,30.736,1,
9.453809,10034,exit_chat,31.930,1,
9.484797,10047,new_chat,47.317,1,
9.515960,10038,chat_msg,310.928,1,
9.516020,10043,chat_msg,310.562,1,
9.610641,10046,chat_msg,311.899,1,
9.624449,10041,chat_msg,309.672,1,
9.640510,10036,chat_msg,310.527,1,
9.640586,10048,start,30.991,1,
9.656044,10035,exit_chat,45.788,1,
9.686959,10048,new_chat,46.326,1,
9.702546,10044,chat_msg,311.198,1,
9.765110,10039,chat_msg,311.657,1,
9.795461,10047,chat_msg,310.582,1,
9.812020,10037,chat_msg,311.659,1,
9.812070,10042,chat_msg,311.379,1,
9.843684,10049,start,32.180,1,
9.889578,10036,exit_chat,46.264,1,
9.889656,10049,new_chat,45.853,1,
9.921440,10045,chat_msg,310.996,1,
9.921519,10040,chat_msg,311.490,1,
9.984329,10048,chat_msg,297.279,1,
10.015861,10043,chat_msg,297.608,1,
10.015917,10038,chat_msg,297.969,1,
10.062402,10037,exit_chat,47.045,1,
10.108957,10046,chat_msg,296.845,1,
10.125169,10041,chat_msg,297.678,1,
10.201636,10049,chat_msg,311.919,1,
10.218394,10044,chat_msg,312.978,1,
10.263996,10038,exit_chat,45.812,1,
10.279844,10039,chat_msg,310.985,1,
10.310871,10047,chat_msg,311.325,1,
10.326205,10042,chat_msg,310.556,1,
10.435689,10040,chat_msg,310.758,1,
10.435777,10045,chat_msg,311.200,1,
10.483048,10048,chat_msg,296.979,1,
10.515350,10043,chat_msg,297.553,1,
10.515431,10039,exit_chat,32.830,1,
10.607645,10046,chat_msg,297.241,1,
10.623714,10041,chat_msg,297.887,1,
10.670756,10040,exit_chat,31.845,1,
10.702390,10049,chat_msg,297.798,1,
10.718716,10044,chat_msg,298.965,1,
10.828267,10047,chat_msg,313.361,1,
10.828339,10042,chat_msg,297.766,1,
10.859476,10041,exit_chat,31.645,1,
10.937115,10045,chat_msg,297.794,1,
10.999031,10048,chat_msg,312.601,1,
11.031327,10043,chat_msg,312.996,1,
11.077329,10042,exit_chat,46.211,1,
11.124641,10046,chat_msg,312.756,1,
11.218063,10049,chat_msg,311.806,1,
11.234264,10044,chat_msg,312.739,1,
11.280506,10043,exit_chat,46.715,1,
11.342456,10047,chat_msg,311.750,1,
11.451804,10045,chat_msg,312.570,1,
11.482544,10044,exit_chat,46.279,1,
11.513415,10048,chat_msg,310.754,1,
11.636702,10046,chat_msg,309.683,1,
11.714383,10045,exit_chat,47.113,1,
11.729224,10049,chat_msg,308.271,1,
11.868294,10047,chat_msg,324.370,1,
11.884339,10046,exit_chat,46.498,1,
12.023505,10048,chat_msg,309.055,1,
12.116976,10047,exit_chat,46.223,1,
12.256608,10049,chat_msg,325.057,1,
12.256750,10048,exit_chat,31.350,1,
12.507483,10049,exit_chat,47.533,1,
