t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,1521,0,119.25215831677377,49.249100004089996,337.891999995918,356.2741999994614,377.3689000008744
1,1871,0,263.18293148042653,246.60940000467235,565.4738000012003,601.7228999990039,641.0077000036836
2,1404,0,554.3421757833897,703.8092000002507,1260.6434999979683,1285.4684999983874,1309.2108000055305
3,1724,0,810.0493617169434,888.2773000004818,1625.1495999968029,1678.9122999980464,1709.074700003839
4,1601,0,968.1164577762966,1307.3940000031143,1968.067499998142,1978.2761000024038,2041.408799996134
5,1712,0,1314.6316269276042,1697.4523000026238,2395.4524000000674,2405.4782000021078,2468.095500000345
6,1641,0,1473.408522790917,1893.3791000017663,2876.220199999807,2888.7630000026547,2898.509600003308
7,1623,0,1657.0532129388816,2286.5143999952124,3270.174799996312,3306.0451000055764,3344.0263999946183
8,1798,0,2011.4698239154795,2449.3117000019993,3552.6092999934917,3576.1144000061904,3581.897200005187
9,2004,0,2246.082272355368,2712.2574000022723,3902.0485000000917,3928.299600003811,3963.7386000031256
10,1508,0,3404.4974556365382,3984.061000002839,4186.542399998871,4214.589700000943,4227.045500003442
11,1561,0,3536.498605957753,3972.024999995483,4185.203200002434,4195.101599994814,4202.5680000006105
12,1598,0,3726.6928693993605,4156.1217999988,4582.493199995952,4607.356399996206,4626.558099997055
13,1652,0,4382.9676129541285,4427.034500004083,4719.833999995899,4737.933300006262,4740.632000000915
14,1534,0,4053.4703851368376,4098.924600002647,4346.336900001916,4385.2840999970795,4396.266199997626
15,1082,0,4040.7996920518353,3941.8565000014496,4416.6863999998895,4468.830300000263,4471.486400005233
16,1916,0,3773.746552453163,3819.2477999982657,4180.305200003204,4214.569099996879,4228.388800001994
17,1603,0,3623.0546373051116,3619.4572999957018,4042.7094000042416,4050.1656999986153,4052.391599994735
18,1397,0,3555.6946386542086,3599.2517999984557,3716.7410000038217,3764.0853999982937,3875.719299998309
19,1063,0,3551.821966792194,3579.965999997512,3642.846200003987,3780.9208999969997,3782.2105000013835
20,1893,0,3498.044583676887,3553.3909000005224,3614.2194000058225,3630.7156999973813,3773.507400001108
21,1517,0,3457.4726889914737,3511.7738000044483,3581.592599999567,3714.3406000031973,3720.243700001447
22,2227,0,3228.2052440053344,3181.139300002542,3608.8536999959615,3625.8288999961223,3659.9834999942686
23,699,0,3037.8409513591673,3073.854800000845,3369.241000000329,3371.7209000024013,3372.0069999981206
24,1600,0,3104.225723062523,3310.21999999939,3459.7167000029003,3467.948900004558,3470.1523000039742
25,1891,0,2931.5267108936137,3085.3439000056824,3170.4867000007653,3247.396500002651,3311.689699999988
26,2593,0,2799.788156922545,2956.0399999973015,3205.144299994572,3227.686600002926,3342.201200001
27,1545,0,2096.9490579286858,2158.669500000542,2713.808100001188,2855.4315000001225,2857.489299996814
28,3212,0,1492.4959445828085,1516.2063000025228,2205.965799999831,2234.4122000067728,2332.793900000979
29,2210,0,652.2024233483864,587.8078000023379,1487.0442999963416,1793.500199994014,1817.4876999983098
